Date,Product,Tenor,Currency,Rate,lag(day),Frequency(month),Dcc
2018/9/28,LIBOR,O/N,USD,0.0191538,2,,ACT/360
2018/9/28,LIBOR,1W,USD,0.0195363,2,,ACT/360
2018/9/28,LIBOR,1M,USD,0.0208138,2,,ACT/360
2018/9/28,LIBOR,2M,USD,0.0217906,2,,ACT/360
2018/9/28,LIBOR,3M,USD,0.0234856,2,,ACT/360
2018/9/28,LIBOR,6M,USD,0.025305,2,,ACT/360
2018/9/28,LIBOR,9M,USD,0.0260425,2,,ACT/360
2018/9/28,SWAP,1Y,USD,0.02678,2,3,ACT/360
2018/9/28,SWAP,2Y,USD,0.02881,2,3,ACT/360
2018/9/28,SWAP,3Y,USD,0.02944,2,3,ACT/360
2018/9/28,SWAP,4Y,USD,0.02966,2,3,ACT/360
2018/9/28,SWAP,5Y,USD,0.02977,2,3,ACT/360
2018/9/28,SWAP,6Y,USD,0.02986,2,3,ACT/360
2018/9/28,SWAP,7Y,USD,0.02996,2,3,ACT/360
2018/9/28,SWAP,8Y,USD,0.03006,2,3,ACT/360
2018/9/28,SWAP,9Y,USD,0.03018,2,3,ACT/360
2018/9/28,SWAP,10Y,USD,0.03031,2,3,ACT/360
2018/9/28,SWAP,15Y,USD,0.03063,2,3,ACT/360
2018/9/28,SWAP,20Y,USD,0.03067,2,3,ACT/360
2018/9/28,SWAP,30Y,USD,0.03038,2,3,ACT/360
